date,trip_count_seas_diff7,trip_count_stl_deseas,avg_fare_seas_diff7,avg_fare_stl_deseas,total_revenue_seas_diff7,total_revenue_stl_deseas
2023-01-01,,84863.03592517853,,20.42133237083916,,2492338.311790153
2023-01-02,,85315.5635554793,,20.353446291556093,,2464774.710975096
2023-01-03,,87032.08961118349,,20.102393245940497,,2532199.0998303043
2023-01-04,,89745.42891258604,,19.974524827345867,,2575640.216058197
2023-01-05,,90949.78692654132,,19.767818546379182,,2525102.672851826
2023-01-06,,93814.39425712592,,18.515409996583127,,2553300.5568806045
2023-01-07,,94384.91627999938,,19.492567870978874,,2596645.245852102
2023-01-08,8302.0,94597.73585224012,-2.2191867479811513,18.43481408000861,54321.58999999985,2596788.5057595973
2023-01-09,19519.0,103890.2128219007,-3.2556120551639722,17.495807735914944,338570.4499999997,2789277.9394041537
2023-01-10,14160.0,100787.51272139716,-2.475176706410565,17.753971095668028,139091.25999999978,2669597.33358395
2023-01-11,11031.0,100808.92828243441,-1.6290667377794001,18.300318739116253,121357.65000000037,2702932.2036952456
2023-01-12,10299.0,100740.84400406279,0.09847348093917319,19.512565047239903,324531.1599999997,2816269.524073466
2023-01-13,8074.0,101789.81026687259,0.8905566047710813,19.32897474587507,375188.48,2908340.3990996433
2023-01-14,7827.0,102659.87994599386,0.26475889228476035,19.501023798113902,260554.1200000001,2871989.402666953
2023-01-15,11715.0,107861.43496023965,-1.1188968812873945,17.532442309052282,206267.16000000015,2853586.1317524686
2023-01-16,-5209.0,97663.00757088538,1.0306391030556306,18.893529565724023,-74611.65999999968,2697477.2896449007
2023-01-17,1066.0,101450.46629714555,1.1562399092525233,19.02081271589969,185790.59000000032,2855483.067472099
2023-01-18,-31.0,100790.24036424335,0.6746796505801278,18.908412161468828,93476.75999999978,2801791.095014171
2023-01-19,3230.0,103565.79502495081,-0.5231996641111962,18.631017228912558,8781.939999999944,2795025.5439846125
2023-01-20,-1236.0,100322.46588998172,-0.7701267851697153,18.46670277324193,-159541.14000000013,2726737.4326691497
2023-01-21,-902.0,102155.16235601946,-0.8486638839924865,18.377707399637714,-156007.54000000004,2728351.5035732305
2023-01-22,-7166.0,102013.73794204304,0.29182954082354584,18.253926667772113,-157354.43000000017,2742290.4634794863
2023-01-23,9620.0,106574.14372026993,-1.674716087444338,17.598380237692314,135125.77000000002,2823253.6456762548
2023-01-24,2810.0,103959.29486243663,-1.307166657234749,17.819954437347086,-92243.7200000002,2759536.860659584
2023-01-25,3062.0,103923.01353015509,-1.0085233416461712,17.844626169611953,-54914.529999999795,2747928.397975112
2023-01-26,231.0,103430.86783063842,0.08550677846489663,18.42762005719587,31938.47999999998,2804046.888646672
2023-01-27,2188.0,102278.83239217616,-0.17307652604767654,18.261564490894852,44142.62000000011,2757499.8174643707
2023-01-28,-365.0,102272.1488178336,0.030004797139582706,18.233874125329947,-3772.839999999851,2741215.696173762
2023-01-29,-1488.0,102137.17424671647,0.044850839422853284,18.180485804088953,-36057.65999999968,2747416.635674855
2023-01-30,-5953.0,99137.18876674533,0.4112340680395441,18.20899324517796,-124053.08000000007,2670845.241084474
2023-01-31,-3372.0,99969.57870694321,0.33573080726321436,18.36018506243476,-59749.29000000004,2699977.771314771
2023-02-01,-1454.0,102488.36685863495,0.3177401519884029,18.148151415958182,1159.1899999999441,2731659.382259732
2023-02-02,-1869.0,102130.65778890069,-0.4537042673711049,17.820903814008638,-118033.93999999994,2688792.459271848
2023-02-03,3433.0,105485.8538340521,-0.6086034708607961,17.596244904420427,7231.820000000298,2756646.321633238
2023-02-04,-13282.0,90065.08025429098,-0.1578450713683388,17.950201365926272,-348865.1200000001,2411675.4560767114
2023-02-05,-4100.0,98149.64473335003,0.4534023340536102,18.740711711591036,-66032.77000000002,2698775.2210714286
2023-02-06,7153.0,104939.99138447113,-0.001393128611674399,18.37780047271182,205087.18999999994,2870058.8682868425
2023-02-07,5604.0,105424.84050256145,-0.4137943608945065,18.006829705605806,109056.02000000002,2812083.479924251
2023-02-08,696.0,102920.76506246904,0.26736674693198026,18.29976052152569,60964.4299999997,2755111.4812885234
2023-02-09,2090.0,104848.02602847436,0.8960475726435888,18.677919084093837,183592.79000000004,2884225.9114846657
2023-02-10,-814.0,104472.69961943805,1.079245229405057,18.688051759695117,127318.95999999996,2877250.912291477
2023-02-11,16099.0,107123.7902359412,0.7034602392835936,18.572099115468845,492560.70999999996,2919940.395318102
2023-02-12,10283.0,108252.33233724057,-0.6211978371143019,18.175089505622445,218637.06999999983,2920072.2986429594
2023-02-13,1954.0,105998.38536177178,-0.1974538740766505,18.26499017622021,24168.22999999998,2900412.4305930967
2023-02-14,2185.0,108450.57199742478,0.4609007509670384,18.494334100885922,102780.7200000002,2933396.0047078584
2023-02-15,2194.0,104503.05056423784,1.2096544335480033,19.39979814969673,232570.59000000032,2951951.7280622567
2023-02-16,-2329.0,102440.17882299268,-0.06416531698186034,18.59527902835914,-76795.94999999972,2802148.657439871
2023-02-17,-2604.0,102046.15887463126,0.04455110509299587,18.76017491992744,-61048.720000000205,2823544.7853079336
2023-02-18,-9242.0,98464.53851761721,0.3812403603273822,18.943741627782366,-189650.02000000002,2749140.563264122
2023-02-19,-4451.0,103018.99171500713,0.3105629068152602,18.5100184096971,-100762.39000000013,2801243.401070916
2023-02-20,-13331.0,92613.52163028908,2.0260636444334423,20.289150840682545,-210436.68999999994,2690842.036307285
2023-02-21,-8428.0,101478.86754087204,0.6898022387318292,19.246516683577475,-129499.52000000002,2836219.8484514994
2023-02-22,190.0,103635.49772913365,-0.5914364070449096,18.68745250905096,-93571.66000000015,2818179.3489769846
2023-02-23,2361.0,104266.56358190226,0.10998071930231035,18.70988379177063,74908.0299999998,2864070.5603328506
2023-02-24,3731.0,105685.56263414222,-0.16281740052565752,18.66988728203096,67778.7799999998,2897919.288890814
2023-02-25,8264.0,107500.56133130575,-0.3010271662764161,18.71577775498489,177159.33000000007,2963857.0743964026
2023-02-26,1138.0,103989.94371211788,0.650405106776784,19.0854932800372,116531.64000000013,2902650.926075149
2023-02-27,13274.0,106148.11868001783,-1.4839935049744426,18.762967607165105,275370.3999999999,2962887.724833071
2023-02-28,1285.0,103758.37798451947,-0.6114805443822497,18.724793078568382,-39850.51000000024,2827902.843931201
2023-03-01,4345.0,107184.30330010927,0.2592951517833093,18.854004653556405,159673.70999999996,2958347.4332324513
2023-03-02,3727.0,107238.34121965739,0.0801505288973452,18.7703928896188,122744.81000000006,2963268.5953866737
2023-03-03,938.0,106831.17449753238,-0.12380239186644104,18.556065772992575,12011.450000000186,2915313.447576113
2023-03-04,-259.0,106866.19726798547,-0.09125602790255272,18.78043753861574,-17883.75,2962510.231938304
2023-03-05,5821.0,109793.6586736468,-0.1454538637964511,18.84546705533579,151444.3799999999,3041817.035617675
2023-03-06,558.0,106756.1952995735,0.3500639847554261,19.045995670272617,62529.169999999925,2997745.927012559
2023-03-07,12607.0,116991.01216547187,-0.12409748816931199,18.72978562781061,331049.8799999999,3199631.7078183293
2023-03-08,2148.0,109496.57565635955,0.05455751656726093,18.857441372961713,76958.16000000015,3037856.0758390534
2023-03-09,2639.0,109555.27797925376,0.11660196033783876,18.815059376800555,87327.93999999994,3033196.4267686983
2023-03-10,5276.0,113571.54116510386,0.542418119952,19.04584833342884,230719.4700000002,3173258.5888059665
2023-03-11,-1935.0,103497.58087904616,0.058341196258936634,19.00503565103806,-35775.39999999991,2915269.130295578
2023-03-12,-1876.0,106922.81567203137,0.1331605867649941,18.94276718718925,-34144.39999999991,2975459.3662555423
2023-03-13,6877.0,113450.75225721228,-0.19486604585574696,18.83040983314254,176169.7200000002,3154249.1165569024
2023-03-14,-6118.0,110625.34357446805,0.2532992682977664,18.953395621052156,-142217.88999999966,3062063.8927262914
2023-03-15,2566.0,113523.02881678272,0.7247053882544137,19.612454238828807,167736.72999999998,3247398.193177845
2023-03-16,2398.0,112326.98050968838,0.9493261765856644,19.728388784095785,210067.93999999994,3247768.0258567957
2023-03-17,-9246.0,105369.12992395379,1.3472468848205246,20.3328715292825,-89545.75,3097944.6192403142
2023-03-18,10198.0,112849.36297837851,0.5513911073148243,19.678854134924517,338851.21999999974,3245958.718732397
2023-03-19,5320.0,111543.34749335393,0.7318739321140946,19.6541114223465,247707.08999999985,3202990.7050882517
2023-03-20,-8905.0,103694.84062284211,1.3025297099531379,20.169202629528403,-104872.20999999996,3032631.6429579724
2023-03-21,-5807.0,104587.28706457435,1.0154222431694642,19.8735372850508,-30036.350000000093,3031200.197734738
2023-03-22,-13894.0,100398.20544126569,-0.2358442589594283,19.41976759231111,-423983.0900000003,2853436.076565515
2023-03-23,-9839.0,102949.87246587315,-0.23376178652777568,19.486474398083757,-313176.1699999999,2940725.705473603
2023-03-24,-1484.0,105383.80167364246,-0.9578516785929594,19.36554602205402,-154995.09000000032,2960502.3461088
2023-03-25,-5929.0,105747.44622876353,-0.5299097522547314,19.214732411612164,-226706.47999999998,2990777.7477351734
2023-03-26,-6284.0,104769.71772484799,0.09930847254739916,19.76104649092338,-177912.85999999987,3004076.9130417625
2023-03-27,4905.0,108537.07422834514,-0.9395647976370007,19.147186706832002,40299.77000000002,3079341.273949759
2023-03-28,2463.0,106182.24224736236,-0.12958355403691257,19.59395472378099,52502.560000000056,3063723.2795029376
2023-03-29,5204.0,105823.64975230944,0.032079322188650394,19.532299616147217,150505.5700000003,3042428.040672987
2023-03-30,5111.0,107604.5983052649,-0.006568766967482986,19.54229216357651,135493.06999999983,3087419.882432
2023-03-31,4205.0,110937.1130952016,0.28421325744032444,19.769105768672183,154817.2200000002,3082998.264322022
2023-04-01,1293.0,107416.90154467247,0.3998573081036696,19.611747140036414,89988.58000000007,3081080.269162104
2023-04-02,5643.0,111239.23729988254,-0.4864732933626925,19.300477910018802,100377.35999999987,3136679.6390425456
2023-04-03,474.0,109257.63831248952,0.2481015274732421,19.277665349833224,18510.850000000093,3112733.8919660733
2023-04-04,4205.0,109012.61332784426,-0.5085117457394155,18.961824929434087,47562.35999999987,3067919.2861668775
2023-04-05,4319.0,109586.99907660637,-0.24881802311188395,19.362424597322413,69865.2799999998,3126178.270251125
2023-04-06,-11179.0,95546.46019912855,-0.3935939687507215,19.195569502668683,-371968.1699999999,2701069.3389417995
2023-04-07,-9293.0,102018.35146032873,-0.9356195553380502,18.936026074004868,-402096.8300000001,2658234.602055978
2023-04-08,-15327.0,93030.79437943985,-0.5226340272729466,19.02022526451788,-486323.4500000002,2621155.3255037414
