date,trip_count,avg_fare,total_revenue
2023-04-26,119110,19.90866358827974,3489284.33
2023-04-27,123282,20.561164241332882,3710457.28
2023-04-28,122053,19.736117096671116,3549207.57
2023-04-29,109436,19.298693482948938,3006338.63
2023-04-30,93249,21.402835740865854,2834632.7399999998
2023-05-01,98726,21.58218493608573,3102936.44
2023-05-02,114040,19.738078744300246,3307813.34
2023-05-03,118575,19.65821404174573,3440675.67
2023-05-04,125640,19.952508277618595,3687760.11
2023-05-05,120548,19.608056624746986,3484230.03
2023-05-06,120417,18.698417499190313,3227591.85
2023-05-07,100313,21.2857453171573,3043773.3
2023-05-08,97820,20.69429860969127,2971099.05
2023-05-09,114864,19.732040674188607,3342877.91
2023-05-10,119872,20.630364472103576,3606951.39
2023-05-11,128993,20.231741567371873,3831877.95
2023-05-12,124770,20.200843712430874,3687018.59
2023-05-13,120867,19.11862402475448,3301683.88
2023-05-14,108526,20.725399627738977,3209098.66
2023-05-15,108028,20.828012830007033,3298767.29
2023-05-16,123582,20.24728180479358,3666208.33
2023-05-17,131105,20.489866595476908,3933799.93
2023-05-18,133499,21.009403890665848,4090225.77
2023-05-19,126751,19.76423436501487,3685926.83
2023-05-20,118098,19.762264305915426,3317103.93
2023-05-21,101742,22.170464606553832,3197120.22
2023-05-22,102967,20.43514922256645,3098074.04
2023-05-23,115498,19.567831131275,3336552.52
2023-05-24,124428,19.531230108978686,3590590.15
2023-05-25,116105,20.455153438697728,3471913.65
2023-05-26,101481,20.15507415181167,2990831.51
2023-05-27,92895,19.450586576241992,2565156.65
2023-05-28,82581,20.758019883508315,2416939.29
2023-05-29,74508,22.22340741933752,2348802.36
2023-05-30,99312,20.549137062993395,2975053.22
2023-05-31,113665,19.816975146263143,3302162.78
2023-06-01,122102,20.367141815858872,3626612.87
2023-06-02,117807,19.39263982615634,3362143.76
2023-06-03,116912,18.984019946626525,3177874.13
2023-06-04,99296,21.910547856912665,3086968.56
2023-06-05,102442,20.477305499697387,3084589.45
2023-06-06,120099,19.779646791397095,3501379.77
2023-06-07,122756,19.970763058424843,3602982.55
2023-06-08,118619,19.678738734941284,3450877.72
2023-06-09,114132,19.628729365997266,3300134.05
2023-06-10,111564,18.996345774622636,3033925.63
2023-06-11,96140,22.005691907634702,2999910.95
2023-06-12,106206,20.111280059506996,3143133.26
2023-06-13,116702,19.843760946684718,3406532.39
2023-06-14,121665,19.75415065959808,3538934.63
2023-06-15,126758,20.277763060319664,3768770.78
2023-06-16,110271,20.512347126624405,3292014.6
2023-06-17,105077,19.082319061259838,2866952.96
2023-06-18,91312,20.920489858945157,2712758.21
2023-06-19,85544,21.30243535490508,2668905.45
2023-06-20,107235,20.7848475777498,3249500.38
2023-06-21,115262,20.30563741736218,3425055.91
2023-06-22,120491,20.062434372691733,3550875.12
2023-06-23,113448,19.995246544672447,3327706.83
2023-06-24,108160,19.546166789940827,3018965.12
2023-06-25,93602,22.0546110125852,2921779.89
2023-06-26,99017,21.08817314198572,3035110.9
2023-06-27,108495,20.413921102354948,3231470.29
2023-06-28,104997,20.217411259369314,3117017.69
2023-06-29,104258,21.359700262809568,3219433.77
2023-06-30,94215,20.355514408533672,2792718.77
2023-07-01,80256,19.800938123006382,2255009.57
2023-07-02,67614,20.347563522347443,1944712.68
2023-07-03,63662,20.116094530489146,1853052.98
2023-07-04,56804,21.589754242658966,1731731.38
2023-07-05,83834,20.17643307011475,2460056.26
2023-07-06,91980,19.898181996086105,2662966.57
2023-07-07,89529,19.524689988718738,2553488.48
2023-07-08,89823,19.477500974138028,2496752.82
2023-07-09,78756,20.781107725125704,2320332.02
2023-07-10,87754,20.95096770517583,2689132.7
2023-07-11,102536,20.091906452367947,3019664.04
2023-07-12,109119,19.58231261283553,3137162.01
2023-07-13,111846,19.64852985354863,3226378.36
2023-07-14,98016,19.87462720372184,2849256.25
2023-07-15,99855,19.62497561464123,2779828.97
2023-07-16,79884,21.477212708427217,2426096.28
2023-07-17,92740,21.1486836316584,2854772.43
2023-07-18,105358,20.018095730746595,3085084.16
2023-07-19,109831,20.00685853720716,3221551.6
2023-07-20,110522,20.099483632218018,3249500.68
2023-07-21,99402,19.827644011186898,2885663.3
2023-07-22,98704,19.599560706759604,2745002.4899999998
2023-07-23,85918,21.04002560581019,2570377.54
2023-07-24,88854,20.20476759628154,2630719.46
2023-07-25,101807,19.84750360977143,2947242.35
2023-07-26,108122,20.332979504633656,3207401.16
2023-07-27,111668,19.559872658236916,3201720.51
2023-07-28,101876,19.854877792610626,2956962.19
2023-07-29,96498,19.146136189351076,2631165.8
2023-07-30,87205,21.68112470615217,2676405.78
2023-07-31,85018,20.655795243360227,2558637.79
2023-08-01,97397,19.712889719395875,2810939.07
2023-08-02,100563,19.471612223183477,2872668.28
2023-08-03,101952,19.76665754472693,2953946.43
2023-08-04,90960,20.13431948109059,2668849.3
2023-08-05,92043,19.131447258346643,2507590.9
2023-08-06,80144,20.924832177081253,2385010.92
2023-08-07,82668,20.105121086756665,2419036.53
2023-08-08,94667,19.931865697655994,2761818.5
2023-08-09,99169,19.33855872298803,2819108.68
2023-08-10,103719,19.67315564168571,2990277.8
2023-08-11,91341,20.0461239749948,2671608.94
2023-08-12,89448,19.469157834719613,2476872.96
2023-08-13,79707,22.282198426737928,2497038.8
2023-08-14,82579,20.395857421378317,2453259.0
2023-08-15,92174,19.307880421810925,2618512.07
2023-08-16,98521,19.479963459566996,2818523.89
2023-08-17,98945,19.631428470362323,2855807.78
2023-08-18,88755,20.283064278068842,2621847.27
2023-08-19,89257,20.14587998700382,2536095.95
2023-08-20,77395,22.039448155565605,2407191.9
2023-08-21,78979,20.598574557793846,2368578.11
2023-08-22,85921,19.959818205095377,2506458.29
2023-08-23,91181,19.764229389894822,2641043.07
2023-08-24,94405,20.24589703935173,2786346.81
2023-08-25,88143,20.115619050860534,2587613.25
2023-08-26,89754,19.765905029302317,2515606.81
2023-08-27,80559,21.512591392643902,2453541.5
2023-08-28,77289,21.233564931620283,2380765.74
2023-08-29,92737,20.40513139307935,2741474.93
2023-08-30,91227,20.499161870937332,2715664.86
2023-08-31,90198,21.459891128406394,2801235.75
2023-09-01,85543,21.435736413265843,2656205.41
2023-09-02,81327,20.25167767162197,2326775.27
2023-09-03,77932,21.335144741569575,2332447.19
2023-09-04,71812,23.087212304350246,2346825.88
2023-09-05,101622,20.93311832083604,3096853.36
2023-09-06,116592,20.311482520241526,3455551.7
2023-09-07,128098,20.361364970569408,3794269.37
2023-09-08,123388,21.099655882257593,3758529.81
2023-09-09,115958,20.344031200952067,3336968.92
2023-09-10,103934,21.284305617026188,3131074.04
2023-09-11,106262,21.72456240236397,3341288.72
2023-09-12,117854,21.215183956420656,3629933.94
2023-09-13,117502,20.333938571258365,3498272.95
2023-09-14,123829,20.857447286176903,3767336.67
2023-09-15,115282,20.654444752866883,3468225.05
2023-09-16,110498,19.531351336675776,3061521.25
2023-09-17,93932,23.11663650300217,3047819.3
2023-09-18,95437,22.779741295304756,3118730.91
2023-09-19,103456,21.248155641045468,3182219.13
2023-09-20,107255,21.469647102699174,3337266.36
2023-09-21,41554,21.366084131491554,1244060.3
2023-09-22,18091,23.350550379198264,458606.79000000004
2023-09-23,18091,21.397323992994746,458606.79000000004
2023-09-24,18091,20.90431282586027,458606.79000000004
2023-09-25,90374,19.624515015380528,2630223.8
2023-09-26,111446,20.187729124419004,3289736.33
2023-09-27,117985,20.12890291138704,3480703.7
2023-09-28,126199,20.736963129660296,3824803.43
2023-09-29,103911,24.02038138406906,3532728.07
2023-09-30,111995,19.01826465467208,3060355.38
2023-10-01,101743,21.653859036985345,3122164.02
2023-10-02,98714,21.08932238588245,3040609.63
2023-10-03,111650,19.808368652037615,3252925.53
2023-10-04,117870,19.741849155849664,3426828.34
2023-10-05,122348,20.47758394088992,3670130.39
2023-10-06,114928,20.48283064179312,3441890.36
2023-10-07,111706,18.78840357724742,3010360.96
2023-10-08,97121,21.69988776886564,2985063.56
2023-10-09,84577,22.02631755678258,2647486.91
2023-10-10,109396,20.772819572927713,3317355.62
2023-10-11,117196,20.335468019386326,3499054.63
2023-10-12,126351,21.327508923554227,3923415.53
